type;langrepo;prompts;tokensprompt;tokensanswer;proglang;linesused;linesgiven;similarity;usedornot;foundinuser;foundingpt;ADD;AI;APP;AUTOMATE;CREATE;DATA STORAGE;DOCUMENTATION;ERROR;EXAMPLE;FIX;FUNCTION;GITHUB;INSTALL;INSTRUCTIONS;LOAD;MODULE;NODE;OPERATING SYSTEM;PLUGIN;PROGRAMMING LANGUAGE;PROMPT;REFACTOR;SECURITY;SPOKEN LANGUAGE;TASK;TEST;TIME;TOKEN;UNIT;USE;VISUALIZATION;WEB
discussion;JAVASCRIPT;1;41;425;JAVASCRIPT;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;JAVASCRIPT;1;41;425;JAVASCRIPT;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;JAVASCRIPT;1;41;425;JAVASCRIPT;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;JAVASCRIPT;1;41;425;JAVASCRIPT;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;JAVASCRIPT;1;41;425;JAVASCRIPT;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;GO;1;10;530;BASH;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;GO;1;10;530;BASH;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;GO;1;10;530;BASH;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;GO;1;10;530;BASH;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;GO;1;10;530;BASH;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
discussion;GO;1;10;530;BASH;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
