Type;RepoLanguage;Title-Programmer;Title-GPT;NumberOfPrompts;TokensOfPrompts;TokensOfAnswers;CodeGPT;LinesUsed;LinesGivenGPT;Usage_Ratio_y_x;Similarity_Web_y_x;String;New-Feature ;Refactor;Security ;Bug-Fix ;Energy;StringGPT;NewFeatureGPT; RefactorGPT; SecurityGPT ;Bug-Fix GPT;EnergyGPT;CodeUSED
code file;NOREFERENCE;Refactor ;String;1;706;88;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;NOREFERENCE;Refactor ;String;1;3084;312;NOREFERENCE;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
code file;C;Refactor ; Bug-Fix ;5;300;2434;PYTHON;33;136;0;0.13;0;0;1;0;0;0;0;0;0;0;0;0;1
code file;NOREFERENCE; Security   Bug-Fix ;New-Feature ;12;296;1596;NOREFERENCE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
code file;NOREFERENCE; Security   Bug-Fix ; LLM-ChatGPT;5;1695;1384;NOREFERENCE;0;40;0;0.01;0;0;0;0;1;0;0;0;0;0;1;0;0
code file;NOREFERENCE; Security   Bug-Fix ; Security  ;3;23;544;NOREFERENCE;5;14;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1
code file;NOREFERENCE; Security   Bug-Fix ;Refactor ;10;116;3311;NOREFERENCE;14;57;0;0.01;0;0;0;0;1;0;0;0;1;0;1;0;1
code file;JAVASCRIPT;New-Feature ;String;2;245;1242;ANDROID;13;33;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1
code file;JAVASCRIPT;New-Feature ;Prog-language  Refactor;6;298;2429;ANDROID;119;137;0;0.02;0;1;0;0;0;0;0;0;1;0;0;0;1
code file;JAVASCRIPT;New-Feature ;Prog-language  Security New-Feature;1;1223;526;ANDROID;3;15;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1
code file;JAVASCRIPT;New-Feature ;Prog-language  Refactor ;2;18;935;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
code file;JAVASCRIPT;New-Feature ;Prog-language ;3;342;1676;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
code file;JAVASCRIPT;New-Feature ;String;10;541;3564;ANDROID;17;49;0;0.02;0;1;0;0;0;0;1;1;0;0;0;0;1
code file;JAVASCRIPT;New-Feature ;Prog-language Security  Bug-Fix ;58;12545;23865;ANDROID;311;953;0;0.11;0;1;0;1;0;0;0;1;0;1;0;0;1
code file;JAVASCRIPT;New-Feature ;Refactor ;5;65;1610;ANDROID;20;55;0;0.01;0;1;0;0;0;0;0;0;1;0;0;0;1
code file;JAVASCRIPT;New-Feature ;Prog-language ;2;17;695;ANDROID;4;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
code file;HTML;New-Feature ;String;3;86;2461;NOREFERENCE;0;42;0;0.02;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;New-Feature ;String;3;421;751;NOREFERENCE;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
code file;HTML;String;Prog-language ;1;14;117;JAVASCRIPT;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
code file;ASL;New-Feature ;Refactor ;10;905;3733;PYTHON;283;346;1;0.97;0;1;0;0;0;0;0;0;1;0;0;0;1
code file;HTML;Refactor  Bug-Fix ;Refactor ;1;11;422;NOREFERENCE;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0
code file;JAVASCRIPT;Refactor ;String;9;94;3575;JAVASCRIPT;52;149;0;0.07;0;0;1;0;0;0;1;1;0;0;0;0;1
