prompts;tokensprompt;tokensanswer;;;REFACTORING;NNEW FEATURE;BUG FIXING;ENERGY;SECURITY;nw;;;;;;;;;
1;10;530;;;0;0;0;0;0;00000;;VAR00001 * USEDINGIT Crosstabulation;;;;;;;
1;12;832;;;0;0;0;0;0;00000;;Count  ;;;;;;;
1;19;760;;;0;0;0;0;0;00000;;;USEDINGIT;Total;;;;;
1;23;438;;;0;0;1;0;0;00300;;0;1;;;;;;
1;67;244;;;0;1;0;0;0;02000;;VAR00001;1235;1;0;1;;;
1;152;687;;;0;1;0;0;0;02000;;BUG FIXING-ENERGY-SECURITY;0;1;1;40;1,6;;
1;216;110;;;0;1;0;0;0;02000;;NNEW FEATURE-ENERGY-SECURITY;0;13;13;253,5;10,0;;
1;226;129;;;1;0;0;0;0;10000;;NNEW FEATURE-BUG FIXING-SECURITY;4;13;17;1111;43,9;;
1;256;249;;;0;0;1;0;0;00300;;NNEW FEATURE-BUG FIXING-ENERGY;2;7;9;;;;
1;274;237;;;0;0;0;0;0;00000;;REFACTORING-ENERGY-SECURITY;23;7;30;;;;
1;275;258;;;1;0;0;1;0;10040;;REFACTORING-BUG FIXING-SECURITY;5;24;29;;;;
1;282;178;;;1;0;0;1;0;10040;;REFACTORING-NNEW FEATURE-SECURITY;4;19;23;;;;
1;292;152;;;1;0;0;1;0;10040;;REFACTORING-NNEW FEATURE-ENERGY;1;5;6;;;;
1;293;424;;;0;0;0;0;0;00000;;REFACTORING-NNEW FEATURE-BUG FIXING;13;30;43;;;;
1;303;153;;;1;0;0;1;0;10040;;ENERGY-SECURITY;8;19;27;;;;
1;306;254;;;1;1;0;0;0;12000;;BUG FIXING-SECURITY;6;9;15;;;;
1;312;214;;;0;1;0;0;0;02000;;BUG FIXING-ENERGY;6;14;20;;;;
1;318;224;;;0;0;0;0;0;00000;;NNEW FEATURE-SECURITY;17;34;51;;;;
1;320;170;;;0;1;0;0;0;02000;;NNEW FEATURE-ENERGY;23;49;72;;;;
1;320;215;;;0;1;0;0;0;02000;;NNEW FEATURE-BUG FIXING;11;44;55;;;;
1;321;195;;;0;1;0;0;0;02000;;REFACTORING-SECURITY;34;41;75;;;;
1;327;76;;;1;0;0;0;1;10005;;REFACTORING-ENERGY;29;161;190;;;;
1;329;164;;;0;1;0;0;0;02000;;REFACTORING-BUG FIXING;3;19;22;;;;
1;334;149;;;0;0;0;0;0;00000;;REFACTORING-NNEW FEATURE;46;117;163;;;;
1;334;316;;;0;0;0;1;0;00040;;SECURITY;46;180;226;0,80;360;0.88;406
1;341;94;;;1;0;0;0;0;10000;;ENERGY;72;148;220;0,67;424;0.85;496
1;342;276;;;0;0;0;0;0;00000;;BUG FIXING;72;166;238;0,70;246;0.77;318
1;344;511;;;1;0;0;0;0;10000;;NNEW FEATURE;130;393;523;0,75;607;0.82;737
1;346;194;;;0;0;1;0;0;00300;;REFACTORING;115;224;339;0,66;647;0.81;762
1;349;378;;;0;1;0;0;0;02000;;NONE;232;796;1028;;;;
1;353;296;;;0;1;0;0;0;02000;;Total;903;2533;3436;;;;
1;355;164;;;0;1;0;0;0;02000;;;;;;;;;
1;359;168;;;0;1;0;0;1;02005;;;;;;;;;
1;365;204;;;0;1;0;0;0;02000;;;;;;;;;
1;376;222;;;0;1;0;0;0;02000;;;;;;;;;
1;377;134;;;0;0;0;1;0;00040;;;;;;;;;
1;387;174;;;0;0;1;0;0;00300;;;;;;;;;
1;392;299;;;0;0;0;0;1;00005;;;;;;;;;
1;393;265;;;0;0;0;0;0;00000;;;;;;;;;
1;398;323;;;0;1;0;1;0;02040;;;;;;;;;
1;398;243;;;0;0;0;0;1;00005;;;;;;;;;
1;406;440;;;0;1;0;0;0;02000;;;;;;;;;
1;408;304;;;1;0;0;1;0;10040;;;;;;;;;
1;413;386;;;0;0;0;1;1;00045;;;;;;;;;
1;413;206;;;0;1;0;0;0;02000;;;;;;;;;
1;415;351;;;0;1;0;0;0;02000;;;;;;;;;
1;422;212;;;0;0;0;0;0;00000;;;;;;;;;
1;428;222;;;0;1;0;0;0;02000;;;;;;;;;
1;429;276;;;0;0;0;0;0;00000;;;;;;;;;
1;434;403;;;0;0;1;0;0;00300;;;;;;;;;
1;443;304;;;1;0;0;1;0;10040;;;;;;;;;
1;444;200;;;0;0;0;1;0;00040;;;;;;;;;
1;444;314;;;0;0;0;1;0;00040;;;;;;;;;
1;445;328;;;0;0;0;0;0;00000;;;;;;;;;
1;448;260;;;0;1;1;0;0;02300;;;;;;;;;
1;449;420;;;0;1;0;0;0;02000;;;;;;;;;
1;453;456;;;0;0;0;0;0;00000;;;;;;;;;
1;457;252;;;0;0;1;0;0;00300;;;;;;;;;
1;468;269;;;0;0;0;1;0;00040;;;;;;;;;
1;468;375;;;0;0;0;0;0;00000;;;;;;;;;
1;473;279;;;0;0;0;0;0;00000;;;;;;;;;
1;473;406;;;1;0;0;0;0;10000;;;;;;;;;
1;473;304;;;1;0;0;0;0;10000;;;;;;;;;
1;474;420;;;1;0;0;0;0;10000;;;;;;;;;
1;476;273;;;1;0;0;0;0;10000;;;;;;;;;
1;482;161;;;0;0;1;0;0;00300;;;;;;;;;
1;483;266;;;0;0;0;0;0;00000;;;;;;;;;
1;484;423;;;1;0;0;1;0;10040;;;;;;;;;
1;489;384;;;1;0;0;0;0;10000;;;;;;;;;
1;491;262;;;0;1;0;0;0;02000;;;;;;;;;
1;502;552;;;0;1;0;0;0;02000;;;;;;;;;
1;506;409;;;0;1;0;0;0;02000;;;;;;;;;
1;507;250;;;0;1;0;0;0;02000;;;;;;;;;
1;507;328;;;0;0;0;0;0;00000;;;;;;;;;
1;508;413;;;0;1;0;0;0;02000;;;;;;;;;
1;509;461;;;1;0;0;1;0;10040;;;;;;;;;
1;512;343;;;0;0;0;0;0;00000;;;;;;;;;
1;516;358;;;0;0;0;0;0;00000;;;;;;;;;
1;518;282;;;0;1;0;0;0;02000;;;;;;;;;
1;522;412;;;1;0;0;1;0;10040;;;;;;;;;
1;527;373;;;1;0;0;0;0;10000;;;;;;;;;
1;530;347;;;0;0;0;0;0;00000;;;;;;;;;
